link,rooms,area_m2,price_kzt,floor,year_built,residential_complex,region,rating_2gis
https://krisha.kz/a/show/760629114,2,90.8,33000000,4,2006,Аккорд Плюс,Алматы р-н,
https://krisha.kz/a/show/699407484,4,107.74,47200000,9,2025,Geneva,Алматы р-н,4.5
https://krisha.kz/a/show/761367241,2,62.3,40990000,9,2023,Q-Life,Нура р-н,
https://krisha.kz/a/show/1002822279,3,98.5,47000000,9,2008,Новый мир,Есильский р-н,
https://krisha.kz/a/show/1002550545,2,68.63,49861050,,2025,Landmark Gold,Есильский р-н,4.5
https://krisha.kz/a/show/1002550545,2,68.63,49861050,,2025,Landmark Gold,Есильский р-н,2.8
https://krisha.kz/a/show/1002926594,3,81,43000000,20,2020,Sezim Qala.Baqyt,Нура р-н,
https://krisha.kz/a/show/1001804342,3,78,57000000,10,2021,Alpamys,Нура р-н,
https://krisha.kz/a/show/1000435964,1,46,38500000,10,2024,BUQAR JYRAU EXCLUSIVE 2,Есильский р-н,
https://krisha.kz/a/show/762183515,2,50,22500000,9,2009,Жаркын,Алматы р-н,
https://krisha.kz/a/show/760514087,2,48.1,23900000,10,2020,Brussels,Нура р-н,
https://krisha.kz/a/show/1000510465,3,70.78,41760200,,2026,Capital Park. Melody,Есильский р-н,4
https://krisha.kz/a/show/1002160010,1,60,26800000,5,2013,ЛЕЯ-Комфорт,Сарыарка р-н,
https://krisha.kz/a/show/761729457,3,79.18,40777700,,2026,Arena Vista,Нура р-н,4.6
https://krisha.kz/a/show/761915370,3,80,45000000,3,2021,ХАБАР,Алматы р-н,
https://krisha.kz/a/show/696065820,4,136.6,73000000,7,2014,Well House,Есильский р-н,
https://krisha.kz/a/show/687788326,1,39,25000000,10,2023,SARDAR,Алматы р-н,
https://krisha.kz/a/show/1002316038,2,55.1,43500000,3,2024,ZHANA URPAQ,Есильский р-н,
https://krisha.kz/a/show/1001223156,1,34.55,18900000,3,2022,Jetisu.Aqsu,Есильский р-н,4.8
https://krisha.kz/a/show/761098336,4,124.29,74574000,,2026,GreenLine. Garden,Нура р-н,4.4
https://krisha.kz/a/show/761495221,2,52.96,38500000,20,2025,Nexpo Trend,Есильский р-н,4.8
https://krisha.kz/a/show/761495221,2,52.96,38500000,20,2025,Nexpo Trend,Есильский р-н,4.8
https://krisha.kz/a/show/692605849,2,96,43000000,15,2015,Монблан де Люкс,Алматы р-н,
https://krisha.kz/a/show/761681184,2,66.7,28000000,4,2024,BURABAY-2,Сарайшык р-н,
https://krisha.kz/a/show/1002249663,3,81,65000000,9,2025,GreenLine.Flora,Нура р-н,4.7
https://krisha.kz/a/show/1002054351,3,71.6,29500000,6,2012,Степной-2,Алматы р-н,
https://krisha.kz/a/show/1001735690,2,38,22500000,,2024,Delta,Нура р-н,4.8
https://krisha.kz/a/show/1001735690,2,38,22500000,,2024,Delta,Нура р-н,5
https://krisha.kz/a/show/699607417,3,101.21,54653400,,2025,Isma,Сарайшык р-н,4.9
https://krisha.kz/a/show/1001988629,2,42,18500000,2,2025,AruPark,Есильский р-н,5
https://krisha.kz/a/show/1001356843,2,58.2,32500000,3,2021,ХАБАР,Алматы р-н,
https://krisha.kz/a/show/761061824,1,50,23000000,6,2018,Nova City,Есильский р-н,
https://krisha.kz/a/show/691550278,4,142,154000000,,2023,KINGS LAND Residence,Сарыарка р-н,
https://krisha.kz/a/show/1002125978,3,79.8,26500000,5,2021,Казанат 2,Алматы р-н,
https://krisha.kz/a/show/1002010983,3,76,38500000,4,2025,Athletic City,Нура р-н,
https://krisha.kz/a/show/1001696708,2,65.6,44000000,7,2022,Sat City,Есильский р-н,4.8
https://krisha.kz/a/show/1001307276,4,110.7,86000000,8,2022,Besterek,Есильский р-н,
https://krisha.kz/a/show/1000672983,4,114.47,54258780,,2026,IZBASAR,Сарайшык р-н,
https://krisha.kz/a/show/1000512537,2,106.94,94855780,,2026,Family Gardens,Есильский р-н,
https://krisha.kz/a/show/690477044,2,68.6,38089650,,2023,Aqzam,Есильский р-н,
https://krisha.kz/a/show/1001468056,2,61.4,42000000,6,2017,Expo Boulevard,Есильский р-н,
https://krisha.kz/a/show/690477044,2,68.6,38089650,,2023,Aqzam,Есильский р-н,
https://krisha.kz/a/show/1001468056,2,61.4,42000000,6,2017,Expo Boulevard,Есильский р-н,
https://krisha.kz/a/show/1000693262,1,50.5,18500000,18,2009,Махаббат-2,Сарыарка р-н,
https://krisha.kz/a/show/1001413678,2,58.1,20900000,8,2024,Yrys,Алматы р-н,
https://krisha.kz/a/show/762294730,3,79,56999999,5,2024,Атмосфера 2,Нура р-н,
https://krisha.kz/a/show/761295031,1,34.3,16500000,12,2018,Кутты Мекен,Сарыарка р-н,
https://krisha.kz/a/show/760535235,2,69,32000000,4,2022,Акан Серы,Сарыарка р-н,
https://krisha.kz/a/show/1000617734,1,43,22500000,11,2025,Azure,Алматы р-н,4.4
https://krisha.kz/a/show/762170352,1,37.5,14625000,,2026,Salt 2,Есильский р-н,4
https://krisha.kz/a/show/690093083,2,70.93,36174300,,2024,Manar,Есильский р-н,4.8
https://krisha.kz/a/show/690093083,2,70.93,36174300,,2024,Manar,Есильский р-н,5
https://krisha.kz/a/show/1001048218,3,71.4,34000000,2,2011,Достар-2,Алматы р-н,
https://krisha.kz/a/show/760757666,2,72,30000000,8,2005,13 магистраль,Алматы р-н,
https://krisha.kz/a/show/1001266838,2,84,32000000,8,2024,Triumph City,Нура р-н,
https://krisha.kz/a/show/761645554,1,18,9500000,2,2011,Солнечный город,Алматы р-н,
https://krisha.kz/a/show/761210035,2,42,22000000,7,2024,Jetisu.Aqsu,Есильский р-н,4.8
https://krisha.kz/a/show/7571569,2,123.4,50000000,16,2011,Гранд Астана Элит,Алматы р-н,
https://krisha.kz/a/show/696412303,3,121.5,44500000,2,2019,Омир Озен,Алматы р-н,
https://krisha.kz/a/show/1000176880,1,33.37,13348000,,2026,Akan City,Сарыарка р-н,5
https://krisha.kz/a/show/694094529,3,102,65900000,14,2023,Бухар Жырау,Есильский р-н,
https://krisha.kz/a/show/1001951309,2,64,25000000,6,2013,Кампус,Байконур р-н,
https://krisha.kz/a/show/1001740632,3,116,55000000,6,2006,Министерский,Есильский р-н,
https://krisha.kz/a/show/1000673714,4,160.37,156521120,,2026,Nexpo Aura,Есильский р-н,3.8
https://krisha.kz/a/show/1000510461,3,91.64,51776600,,2026,Capital Park. Melody,Есильский р-н,4
https://krisha.kz/a/show/1003057160,3,115.5,55000000,11,2015,Мирас-2,Сарыарка р-н,
https://krisha.kz/a/show/696998320,1,47.01,25620450,,2025,Qasiet,Алматы р-н,4.9
https://krisha.kz/a/show/1003032510,2,60.3,22900000,7,2010,Жастар,Алматы р-н,
https://krisha.kz/a/show/690088233,2,103.2,40000000,19,2012,Гранд Астана,Алматы р-н,
https://krisha.kz/a/show/680000425,4,160,90000000,9,2015,Олимп палас-2,Есильский р-н,
https://krisha.kz/a/show/1002500783,2,58.36,27312480,,2026,Aisafa,Сарайшык р-н,
https://krisha.kz/a/show/760336550,1,40,27000000,,2021,Sezim Qala.Baqyt,Есильский р-н,
https://krisha.kz/a/show/761665856,2,62.9,28000000,7,2023,Kerim,Алматы р-н,4.5
https://krisha.kz/a/show/696141620,2,42.8,27800000,11,2024,Dastur,Есильский р-н,4.5
https://krisha.kz/a/show/676722791,3,130,59900000,8,2017,Бейбарыс,Алматы р-н,4.7
https://krisha.kz/a/show/676722791,3,130,59900000,8,2017,Бейбарыс,Алматы р-н,4.2
https://krisha.kz/a/show/676722791,3,130,59900000,8,2017,Бейбарыс,Алматы р-н,4.4
https://krisha.kz/a/show/699979985,1,37.16,20623800,,2026,Dariya,Нура р-н,
https://krisha.kz/a/show/1002507655,2,48,24500000,8,2012,Торлет,Сарыарка р-н,
https://krisha.kz/a/show/1001935461,2,75.6,79000000,10,2023,Four Seasons,Нура р-н,5
https://krisha.kz/a/show/1001767572,3,80.4,37900000,17,2009,Алатау,Есильский р-н,
https://krisha.kz/a/show/1001212434,2,65,44555000,,2023,Gamma,Есильский р-н,
https://krisha.kz/a/show/697969334,2,52.23,40530480,,2026,GreenLine. Aurora,Нура р-н,5
https://krisha.kz/a/show/699905522,2,47.19,28314000,,2025,Sultan Beibarys,Нура р-н,
https://krisha.kz/a/show/677730582,2,73.5,31972500,,2024,Gold Land,Есильский р-н,4.5
https://krisha.kz/a/show/677730582,2,73.5,31972500,,2024,Gold Land,Есильский р-н,2.8
https://krisha.kz/a/show/1002500333,4,105.7,49679000,,2026,Aitau,Нура р-н,
https://krisha.kz/a/show/1001021975,1,40.5,23500000,12,2020,Sat City,Нура р-н,4.8
https://krisha.kz/a/show/762034611,1,32.8,17700000,2,2004,Аль-Фараби,Алматы р-н,
https://krisha.kz/a/show/686589096,3,164.2,70000000,20,2011,Гранд Астана,Алматы р-н,
https://krisha.kz/a/show/1002618225,3,90,40990000,12,2022,София,Алматы р-н,
